,Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze,individual_gold,individual_silver,individual_bronze
0,Taylor Worth,Australia,21,174.0,60.0,M,Archery,Men's Individual,,,,,,,
1,Md Emdadul Haque Milon,Bangladesh,19,174.0,60.0,M,Archery,Men's Individual,,,,,,,
2,Yavor Vasilev Hristov,Bulgaria,36,178.0,88.0,M,Archery,Men's Individual,,,,,,,
3,Rene Philippe Kouassi,Côte d'Ivoire,32,190.0,77.0,M,Archery,Men's Individual,,,,,,,
4,Crispin Duenas,Canada,26,170.0,81.0,M,Archery,Men's Individual,,,,,,,
5,Daniel Felipe Pineda,Colombia,18,186.0,83.0,M,Archery,Men's Individual,,,,,,,
6,Juan Carlos Stevens,Cuba,43,,,M,Archery,Men's Individual,,,,,,,
7,Ahmed El-Nemr,Egypt,33,183.0,84.0,M,Archery,Men's Individual,,,,,,,
8,Robert Elder,Fiji,31,193.0,115.0,M,Archery,Men's Individual,,,,,,,
9,Camilo Mayr,Germany,21,178.0,74.0,M,Archery,Men's Individual,,,,,,,
10,Kar Wai Calvin Lee,"Hong Kong, China",29,172.0,68.0,M,Archery,Men's Individual,,,,,,,
11,Denis Gankin,Kazakhstan,22,183.0,68.0,M,Archery,Men's Individual,,,,,,,
12,Jeff Henckels,Luxembourg,27,184.0,77.0,M,Archery,Men's Individual,,,,,,,
13,Jantsan Gantugs,Mongolia,40,174.0,75.0,M,Archery,Men's Individual,,,,,,,
14,Nay Myo Aung,Myanmar,26,178.0,71.0,M,Archery,Men's Individual,,,,,,,
15,Rick van der Ven,Netherlands,21,181.0,71.0,M,Archery,Men's Individual,,,,,,,
16,Baard Nesteng,Norway,33,,,M,Archery,Men's Individual,,,,,,,
17,Mark Javier,Philippines,30,173.0,53.0,M,Archery,Men's Individual,,,,,,,
18,Rafal Dobrowolski,Poland,28,180.0,80.0,M,Archery,Men's Individual,,,,,,,
19,Dan Olaru,Republic of Moldova,15,175.0,70.0,M,Archery,Men's Individual,,,,,,,
20,Emanuele Guidi,San Marino,42,175.0,80.0,M,Archery,Men's Individual,,,,,,,
